Index,Name,Full_Name,Intensity,Space,Hemi,Region,R,A,S
1,RN_L,RN_L,1,MNI,L,subcortex,-5,-19,-7
2,RN_R,RN_R,2,MNI,R,subcortex,5,-18,-8
3,SN_L,SN_L,3,MNI,L,subcortex,-10,-16,-11
4,SN_R,SN_R,4,MNI,R,subcortex,10,-16,-11
5,Caud_L,Caud_L,7,MNI,L,subcortex,-14,10,7
6,Caud_R,Caud_R,8,MNI,R,subcortex,14,11,7
7,Put_L,Put_L,9,MNI,L,subcortex,-26,2,0
8,Put_R,Put_R,10,MNI,R,subcortex,25,3,0
9,GPe_L,GPe_L,11,MNI,L,subcortex,-22,-2,0
10,GPe_R,GPe_R,12,MNI,R,subcortex,22,-1,0
11,GPi_L,GPi_L,13,MNI,L,subcortex,-19,-4,-3
12,GPi_R,GPi_R,14,MNI,R,subcortex,19,-4,-3
13,Thalam_L,Thalam_L,15,MNI,L,subcortex,-12,-19,7
14,Thalam_R,Thalam_R,16,MNI,R,subcortex,12,-17,6
15,Precentral_L,Precentral_L,2001,MNI,L,cortex,-39,-6,51
16,Precentral_R,Precentral_R,2002,MNI,R,cortex,41,-8,52
17,Frontal_Sup_L,Frontal_Sup_L,2101,MNI,L,cortex,-18,35,42
18,Frontal_Sup_R,Frontal_Sup_R,2102,MNI,R,cortex,22,31,44
19,Frontal_Sup_Orb_L,Frontal_Sup_Orb_L,2111,MNI,L,cortex,-17,47,-13
20,Frontal_Sup_Orb_R,Frontal_Sup_Orb_R,2112,MNI,R,cortex,18,48,-14
21,Frontal_Mid_L,Frontal_Mid_L,2201,MNI,L,cortex,-33,33,35
22,Frontal_Mid_R,Frontal_Mid_R,2202,MNI,R,cortex,38,33,34
23,Frontal_Mid_Orb_L,Frontal_Mid_Orb_L,2211,MNI,L,cortex,-31,50,-10
24,Frontal_Mid_Orb_R,Frontal_Mid_Orb_R,2212,MNI,R,cortex,33,53,-11
25,Frontal_Inf_Oper_L,Frontal_Inf_Oper_L,2301,MNI,L,cortex,-48,13,19
26,Frontal_Inf_Oper_R,Frontal_Inf_Oper_R,2302,MNI,R,cortex,50,15,21
27,Frontal_Inf_Tri_L,Frontal_Inf_Tri_L,2311,MNI,L,cortex,-46,30,14
28,Frontal_Inf_Tri_R,Frontal_Inf_Tri_R,2312,MNI,R,cortex,50,30,14
29,Frontal_Inf_Orb_L,Frontal_Inf_Orb_L,2321,MNI,L,cortex,-36,31,-12
30,Frontal_Inf_Orb_R,Frontal_Inf_Orb_R,2322,MNI,R,cortex,41,32,-12
31,Rolandic_Oper_L,Rolandic_Oper_L,2331,MNI,L,cortex,-47,-8,14
32,Rolandic_Oper_R,Rolandic_Oper_R,2332,MNI,R,cortex,53,-6,15
33,Supp_Motor_Area_L,Supp_Motor_Area_L,2401,MNI,L,cortex,-5,5,61
34,Supp_Motor_Area_R,Supp_Motor_Area_R,2402,MNI,R,cortex,9,0,62
35,Olfactory_L,Olfactory_L,2501,MNI,L,cortex,-8,15,-11
36,Olfactory_R,Olfactory_R,2502,MNI,R,cortex,10,16,-11
37,Frontal_Sup_Medial_L,Frontal_Sup_Medial_L,2601,MNI,L,cortex,-5,49,31
38,Frontal_Sup_Medial_R,Frontal_Sup_Medial_R,2602,MNI,R,cortex,9,51,30
39,Frontal_Med_Orb_L,Frontal_Med_Orb_L,2611,MNI,L,cortex,-5,54,-7
40,Frontal_Med_Orb_R,Frontal_Med_Orb_R,2612,MNI,R,cortex,8,52,-7
41,Rectus_L,Rectus_L,2701,MNI,L,cortex,-5,37,-18
42,Rectus_R,Rectus_R,2702,MNI,R,cortex,8,36,-18
43,Insula_L,Insula_L,3001,MNI,L,cortex,-35,7,3
44,Insula_R,Insula_R,3002,MNI,R,cortex,39,6,2
45,Cingulum_Ant_L,Cingulum_Ant_L,4001,MNI,L,cortex,-4,35,14
46,Cingulum_Ant_R,Cingulum_Ant_R,4002,MNI,R,cortex,8,37,16
47,Cingulum_Mid_L,Cingulum_Mid_L,4011,MNI,L,cortex,-5,-15,42
48,Cingulum_Mid_R,Cingulum_Mid_R,4012,MNI,R,cortex,8,-9,40
49,Cingulum_Post_L,Cingulum_Post_L,4021,MNI,L,cortex,-5,-43,25
50,Cingulum_Post_R,Cingulum_Post_R,4022,MNI,R,cortex,7,-42,22
51,ParaHippocampal_L,ParaHippocampal_L,4111,MNI,L,cortex,-21,-16,-21
52,ParaHippocampal_R,ParaHippocampal_R,4112,MNI,R,cortex,25,-15,-20
53,Calcarine_L,Calcarine_L,5001,MNI,L,cortex,-7,-79,6
54,Calcarine_R,Calcarine_R,5002,MNI,R,cortex,16,-73,9
55,Cuneus_L,Cuneus_L,5011,MNI,L,cortex,-6,-80,27
56,Cuneus_R,Cuneus_R,5012,MNI,R,cortex,14,-79,28
57,Lingual_L,Lingual_L,5021,MNI,L,cortex,-15,-68,-5
58,Lingual_R,Lingual_R,5022,MNI,R,cortex,16,-67,-4
59,Occipital_Sup_L,Occipital_Sup_L,5101,MNI,L,cortex,-17,-84,28
60,Occipital_Sup_R,Occipital_Sup_R,5102,MNI,R,cortex,24,-81,31
61,Occipital_Mid_L,Occipital_Mid_L,5201,MNI,L,cortex,-32,-81,16
62,Occipital_Mid_R,Occipital_Mid_R,5202,MNI,R,cortex,37,-80,19
63,Occipital_Inf_L,Occipital_Inf_L,5301,MNI,L,cortex,-36,-78,-8
64,Occipital_Inf_R,Occipital_Inf_R,5302,MNI,R,cortex,38,-82,-8
65,Fusiform_L,Fusiform_L,5401,MNI,L,cortex,-31,-40,-20
66,Fusiform_R,Fusiform_R,5402,MNI,R,cortex,34,-39,-20
67,Postcentral_L,Postcentral_L,6001,MNI,L,cortex,-42,-23,49
68,Postcentral_R,Postcentral_R,6002,MNI,R,cortex,41,-25,53
69,Parietal_Sup_L,Parietal_Sup_L,6101,MNI,L,cortex,-23,-60,59
70,Parietal_Sup_R,Parietal_Sup_R,6102,MNI,R,cortex,26,-59,62
71,Parietal_Inf_L,Parietal_Inf_L,6201,MNI,L,cortex,-43,-46,47
72,Parietal_Inf_R,Parietal_Inf_R,6202,MNI,R,cortex,46,-46,50
73,SupraMarginal_L,SupraMarginal_L,6211,MNI,L,cortex,-56,-34,30
74,SupraMarginal_R,SupraMarginal_R,6212,MNI,R,cortex,58,-32,34
75,Angular_L,Angular_L,6221,MNI,L,cortex,-44,-61,36
76,Angular_R,Angular_R,6222,MNI,R,cortex,46,-60,39
77,Precuneus_L,Precuneus_L,6301,MNI,L,cortex,-7,-56,48
78,Precuneus_R,Precuneus_R,6302,MNI,R,cortex,10,-56,44
79,Paracentral_Lobule_L,Paracentral_Lobule_L,6401,MNI,L,cortex,-8,-25,70
80,Paracentral_Lobule_R,Paracentral_Lobule_R,6402,MNI,R,cortex,7,-32,68
81,Heschl_L,Heschl_L,8101,MNI,L,cortex,-42,-19,10
82,Heschl_R,Heschl_R,8102,MNI,R,cortex,46,-17,10
83,Temporal_Sup_L,Temporal_Sup_L,8111,MNI,L,cortex,-53,-21,7
84,Temporal_Sup_R,Temporal_Sup_R,8112,MNI,R,cortex,58,-22,7
85,Temporal_Pole_Sup_L,Temporal_Pole_Sup_L,8121,MNI,L,cortex,-40,15,-20
86,Temporal_Pole_Sup_R,Temporal_Pole_Sup_R,8122,MNI,R,cortex,48,15,-17
87,Temporal_Mid_L,Temporal_Mid_L,8201,MNI,L,cortex,-56,-34,-2
88,Temporal_Mid_R,Temporal_Mid_R,8202,MNI,R,cortex,57,-37,-1
89,Temporal_Pole_Mid_L,Temporal_Pole_Mid_L,8211,MNI,L,cortex,-36,15,-34
90,Temporal_Pole_Mid_R,Temporal_Pole_Mid_R,8212,MNI,R,cortex,44,15,-32
91,Temporal_Inf_L,Temporal_Inf_L,8301,MNI,L,cortex,-50,-28,-23
92,Temporal_Inf_R,Temporal_Inf_R,8302,MNI,R,cortex,54,-31,-22
