Index,Name,Full_Name,Intensity,Space,Hemi,Region,R,A,S
1,Precentral_L,Precentral_L,1,MNI,L,cortex,-38,-6,49
2,Precentral_R,Precentral_R,2,MNI,R,cortex,41,-9,50
3,Frontal_Sup_2_L,Frontal_Sup_2_L,3,MNI,L,cortex,-20,35,35
4,Frontal_Sup_2_R,Frontal_Sup_2_R,4,MNI,R,cortex,22,33,37
5,Frontal_Mid_2_L,Frontal_Mid_2_L,5,MNI,L,cortex,-35,32,29
6,Frontal_Mid_2_R,Frontal_Mid_2_R,6,MNI,R,cortex,38,32,29
7,Frontal_Inf_Oper_L,Frontal_Inf_Oper_L,7,MNI,L,cortex,-48,11,17
8,Frontal_Inf_Oper_R,Frontal_Inf_Oper_R,8,MNI,R,cortex,49,13,20
9,Frontal_Inf_Tri_L,Frontal_Inf_Tri_L,9,MNI,L,cortex,-45,28,12
10,Frontal_Inf_Tri_R,Frontal_Inf_Tri_R,10,MNI,R,cortex,50,28,12
11,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_L,11,MNI,L,cortex,-41,31,-8
12,Frontal_Inf_Orb_2_R,Frontal_Inf_Orb_2_R,12,MNI,R,cortex,45,33,-7
13,Rolandic_Oper_L,Rolandic_Oper_L,13,MNI,L,cortex,-47,-9,12
14,Rolandic_Oper_R,Rolandic_Oper_R,14,MNI,R,cortex,52,-7,13
15,Supp_Motor_Area_L,Supp_Motor_Area_L,15,MNI,L,cortex,-6,3,60
16,Supp_Motor_Area_R,Supp_Motor_Area_R,16,MNI,R,cortex,8,-1,60
17,Olfactory_L,Olfactory_L,17,MNI,L,cortex,-8,14,-12
18,Olfactory_R,Olfactory_R,18,MNI,R,cortex,10,14,-12
19,Frontal_Sup_Medial_L,Frontal_Sup_Medial_L,19,MNI,L,cortex,-6,48,28
20,Frontal_Sup_Medial_R,Frontal_Sup_Medial_R,20,MNI,R,cortex,8,49,28
21,Frontal_Med_Orb_L,Frontal_Med_Orb_L,21,MNI,L,cortex,-6,52,-8
22,Frontal_Med_Orb_R,Frontal_Med_Orb_R,22,MNI,R,cortex,7,50,-8
23,Rectus_L,Rectus_L,23,MNI,L,cortex,-6,35,-19
24,Rectus_R,Rectus_R,24,MNI,R,cortex,8,34,-19
25,OFCmed_L,OFCmed_L,25,MNI,L,cortex,-14,35,-21
26,OFCmed_R,OFCmed_R,26,MNI,R,cortex,16,37,-21
27,OFCant_L,OFCant_L,27,MNI,L,cortex,-25,46,-16
28,OFCant_R,OFCant_R,28,MNI,R,cortex,28,48,-16
29,OFCpost_L,OFCpost_L,29,MNI,L,cortex,-28,23,-19
30,OFCpost_R,OFCpost_R,30,MNI,R,cortex,33,24,-19
31,OFClat_L,OFClat_L,31,MNI,L,cortex,-42,39,-15
32,OFClat_R,OFClat_R,32,MNI,R,cortex,47,36,-16
33,Insula_L,Insula_L,33,MNI,L,cortex,-35,5,2
34,Insula_R,Insula_R,34,MNI,R,cortex,38,5,0
35,Cingulate_Mid_L,Cingulate_Mid_L,37,MNI,L,cortex,-6,-16,40
36,Cingulate_Mid_R,Cingulate_Mid_R,38,MNI,R,cortex,7,-10,38
37,Cingulate_Post_L,Cingulate_Post_L,39,MNI,L,cortex,-6,-44,22
38,Cingulate_Post_R,Cingulate_Post_R,40,MNI,R,cortex,7,-43,20
39,Hippocampus_L,Hippocampus_L,41,MNI,L,subcortex,-25,-21,-11
40,Hippocampus_R,Hippocampus_R,42,MNI,R,subcortex,28,-20,-11
41,ParaHippocampal_L,ParaHippocampal_L,43,MNI,L,subcortex,-21,-17,-21
42,ParaHippocampal_R,ParaHippocampal_R,44,MNI,R,subcortex,25,-16,-21
43,Amygdala_L,Amygdala_L,45,MNI,L,subcortex,-23,-1,-18
44,Amygdala_R,Amygdala_R,46,MNI,R,subcortex,27,0,-18
45,Calcarine_L,Calcarine_L,47,MNI,L,cortex,-10,-77,5
46,Calcarine_R,Calcarine_R,48,MNI,R,cortex,15,-74,8
47,Cuneus_L,Cuneus_L,49,MNI,L,cortex,-8,-80,26
48,Cuneus_R,Cuneus_R,50,MNI,R,cortex,13,-80,26
49,Lingual_L,Lingual_L,51,MNI,L,cortex,-15,-68,-6
50,Lingual_R,Lingual_R,52,MNI,R,cortex,16,-68,-5
51,Occipital_Sup_L,Occipital_Sup_L,53,MNI,L,cortex,-16,-85,26
52,Occipital_Sup_R,Occipital_Sup_R,54,MNI,R,cortex,23,-82,29
53,Occipital_Mid_L,Occipital_Mid_L,55,MNI,L,cortex,-32,-81,14
54,Occipital_Mid_R,Occipital_Mid_R,56,MNI,R,cortex,37,-81,18
55,Occipital_Inf_L,Occipital_Inf_L,57,MNI,L,cortex,-36,-79,-9
56,Occipital_Inf_R,Occipital_Inf_R,58,MNI,R,cortex,37,-83,-8
57,Fusiform_L,Fusiform_L,59,MNI,L,cortex,-31,-41,-21
58,Fusiform_R,Fusiform_R,60,MNI,R,cortex,33,-40,-21
59,Postcentral_L,Postcentral_L,61,MNI,L,cortex,-42,-23,47
60,Postcentral_R,Postcentral_R,62,MNI,R,cortex,41,-26,51
61,Parietal_Sup_L,Parietal_Sup_L,63,MNI,L,cortex,-23,-60,57
62,Parietal_Sup_R,Parietal_Sup_R,64,MNI,R,cortex,25,-60,60
63,Parietal_Inf_L,Parietal_Inf_L,65,MNI,L,cortex,-43,-47,45
64,Parietal_Inf_R,Parietal_Inf_R,66,MNI,R,cortex,46,-47,48
65,SupraMarginal_L,SupraMarginal_L,67,MNI,L,cortex,-56,-34,29
66,SupraMarginal_R,SupraMarginal_R,68,MNI,R,cortex,57,-32,33
67,Angular_L,Angular_L,69,MNI,L,cortex,-44,-62,34
68,Angular_R,Angular_R,70,MNI,R,cortex,45,-61,37
69,Precuneus_L,Precuneus_L,71,MNI,L,cortex,-8,-56,47
70,Precuneus_R,Precuneus_R,72,MNI,R,cortex,9,-57,42
71,Paracentral_Lobule_L,Paracentral_Lobule_L,73,MNI,L,cortex,-8,-26,69
72,Paracentral_Lobule_R,Paracentral_Lobule_R,74,MNI,R,cortex,7,-32,66
73,Caudate_L,Caudate_L,75,MNI,L,subcortex,-12,9,10
74,Caudate_R,Caudate_R,76,MNI,R,subcortex,15,10,10
75,Putamen_L,Putamen_L,77,MNI,L,subcortex,-24,2,1
76,Putamen_R,Putamen_R,78,MNI,R,subcortex,27,3,1
77,Pallidum_L,Pallidum_L,79,MNI,L,subcortex,-18,-1,-1
78,Pallidum_R,Pallidum_R,80,MNI,R,subcortex,20,-1,-1
79,Heschl_L,Heschl_L,83,MNI,L,cortex,-42,-20,8
80,Heschl_R,Heschl_R,84,MNI,R,cortex,45,-18,9
81,Temporal_Sup_L,Temporal_Sup_L,85,MNI,L,cortex,-53,-22,5
82,Temporal_Sup_R,Temporal_Sup_R,86,MNI,R,cortex,57,-23,5
83,Temporal_Pole_Sup_L,Temporal_Pole_Sup_L,87,MNI,L,cortex,-40,13,-21
84,Temporal_Pole_Sup_R,Temporal_Pole_Sup_R,88,MNI,R,cortex,47,13,-18
85,Temporal_Mid_L,Temporal_Mid_L,89,MNI,L,cortex,-55,-34,-3
86,Temporal_Mid_R,Temporal_Mid_R,90,MNI,R,cortex,57,-38,-2
87,Temporal_Pole_Mid_L,Temporal_Pole_Mid_L,91,MNI,L,cortex,-36,13,-35
88,Temporal_Pole_Mid_R,Temporal_Pole_Mid_R,92,MNI,R,cortex,43,13,-33
89,Temporal_Inf_L,Temporal_Inf_L,93,MNI,L,cortex,-50,-29,-24
90,Temporal_Inf_R,Temporal_Inf_R,94,MNI,R,cortex,53,-32,-23
91,Cerebellum_Crus1_L,Cerebellum_Crus1_L,95,MNI,L,cerebellum,-35,-67,-30
92,Cerebellum_Crus1_R,Cerebellum_Crus1_R,96,MNI,R,cerebellum,38,-68,-30
93,Cerebellum_Crus2_L,Cerebellum_Crus2_L,97,MNI,L,cerebellum,-28,-74,-39
94,Cerebellum_Crus2_R,Cerebellum_Crus2_R,98,MNI,R,cerebellum,32,-70,-41
95,Cerebellum_3_L,Cerebellum_3_L,99,MNI,L,cerebellum,-8,-38,-19
96,Cerebellum_3_R,Cerebellum_3_R,100,MNI,R,cerebellum,13,-35,-20
97,Cerebellum_4_5_L,Cerebellum_4_5_L,101,MNI,L,cerebellum,-14,-44,-18
98,Cerebellum_4_5_R,Cerebellum_4_5_R,102,MNI,R,cerebellum,17,-44,-19
99,Cerebellum_6_L,Cerebellum_6_L,103,MNI,L,cerebellum,-22,-60,-23
100,Cerebellum_6_R,Cerebellum_6_R,104,MNI,R,cerebellum,25,-59,-24
101,Cerebellum_7b_L,Cerebellum_7b_L,105,MNI,L,cerebellum,-31,-61,-46
102,Cerebellum_7b_R,Cerebellum_7b_R,106,MNI,R,cerebellum,33,-64,-49
103,Cerebellum_8_L,Cerebellum_8_L,107,MNI,L,cerebellum,-25,-55,-49
104,Cerebellum_8_R,Cerebellum_8_R,108,MNI,R,cerebellum,25,-57,-50
105,Cerebellum_9_L,Cerebellum_9_L,109,MNI,L,cerebellum,-10,-50,-47
106,Cerebellum_9_R,Cerebellum_9_R,110,MNI,R,cerebellum,10,-50,-47
107,Cerebellum_10_L,Cerebellum_10_L,111,MNI,L,cerebellum,-21,-35,-43
